cve_id,cwe,cvss_v31_base_score,cvss_v31_exploitability_score,cvss_v31_impact_score,cvss_v2_base_score,cvss_v2_exploitability_score,cvss_v2_impact_score,fuente_cisa,fuente_nuclei
CVE-2012-1835,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-1854,NVD-CWE-Other,7.8,1.8,5.9,6.9,3.4,10.0,True,False
CVE-2012-1854,CWE-426,7.8,1.8,5.9,6.9,3.4,10.0,True,False
CVE-2012-1856,NVD-CWE-noinfo,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2012-1889,CWE-787,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2012-2034,CWE-119,7.5,1.6,5.9,9.3,8.6,10.0,True,False
CVE-2012-2122,CWE-287,,,,5.1,4.9,6.4,False,True
CVE-2012-2371,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-2539,CWE-787,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2012-3152,NVD-CWE-noinfo,9.1,3.9,5.2,6.4,10.0,4.9,True,False
CVE-2012-3153,NVD-CWE-noinfo,,,,6.4,10.0,4.9,False,True
CVE-2012-4032,CWE-20,,,,5.8,8.6,4.9,False,True
CVE-2012-4242,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-4253,CWE-22,,,,4.3,8.6,2.9,False,True
CVE-2012-4273,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-4547,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-4681,NVD-CWE-Other,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2012-4681,CWE-284,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2012-4768,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-4792,CWE-416,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2012-4878,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2012-4889,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-4940,CWE-22,,,,6.4,10.0,4.9,False,True
CVE-2012-4969,CWE-416,8.1,2.2,5.9,9.3,8.6,10.0,True,False
CVE-2012-4982,CWE-20,,,,5.8,8.6,4.9,False,True
CVE-2012-5054,CWE-190,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2012-5076,NVD-CWE-Other,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2012-5076,CWE-284,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2012-5321,CWE-20,,,,5.8,8.6,4.9,False,True
CVE-2012-5913,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-6499,CWE-20,,,,5.8,8.6,4.9,False,True
CVE-2013-0074,NVD-CWE-noinfo,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2013-0422,NVD-CWE-Other,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2013-0422,CWE-284,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2013-0431,NVD-CWE-Other,5.3,3.9,1.4,5.0,10.0,2.9,True,False
CVE-2013-0431,CWE-693,5.3,3.9,1.4,5.0,10.0,2.9,True,False
CVE-2013-0625,CWE-287,9.8,3.9,5.9,6.8,8.6,6.4,True,False
CVE-2013-0629,NVD-CWE-noinfo,7.5,3.9,3.6,4.3,8.6,2.9,True,False
CVE-2013-0631,NVD-CWE-noinfo,7.5,3.9,3.6,5.0,10.0,2.9,True,False
CVE-2013-0632,CWE-276,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2013-0640,CWE-787,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2013-0641,CWE-120,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2013-0643,NVD-CWE-noinfo,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2013-0643,CWE-269,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2013-0648,NVD-CWE-noinfo,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2013-1331,CWE-120,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2013-1347,CWE-416,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2013-1675,CWE-665,6.5,2.8,3.6,4.3,8.6,2.9,True,False
CVE-2013-1690,CWE-119,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2013-1965,CWE-94,,,,9.3,8.6,10.0,False,True
CVE-2013-2094,CWE-189,8.4,2.5,5.9,7.2,3.9,10.0,True,False
CVE-2013-2248,CWE-20,,,,5.8,8.6,4.9,False,True
CVE-2013-2251,CWE-74,9.8,3.9,5.9,9.3,8.6,10.0,True,True
CVE-2013-2287,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2013-2423,NVD-CWE-noinfo,3.7,2.2,1.4,4.3,8.6,2.9,True,False
CVE-2013-2423,CWE-284,3.7,2.2,1.4,4.3,8.6,2.9,True,False
CVE-2013-2465,NVD-CWE-noinfo,9.8,3.9,5.9,10.0,10.0,10.0,True,False
