tipo,vendor,producto,cantidad_cves,v31_score_promedio,v31_score_maximo
Aplicación,greatjoomla,scriptegrator_plugin,1,,
Aplicación,harmistechnology,com_jejob,1,,
Aplicación,harmistechnology,com_jequoteform,1,,
Aplicación,harmistechnology,com_jesectionfinder,1,,
Aplicación,fabrikar,fabrik,1,,
Aplicación,featurific_for_wordpress_project,featurific-for-wordpress,1,,
Aplicación,filezilla,filezilla_server,1,,
Aplicación,flatnux,flatnux,1,,
Aplicación,foobla,com_foobla_suggestions,1,,
Aplicación,mapplic,mapplic,1,8.3,8.3
Aplicación,mariadb,mariadb,1,,
Aplicación,masselink,com_picasa2gallery,1,,
Aplicación,matamko,com_matamko,1,,
Aplicación,mdc_youtube_downloader_project,mdc_youtube_downloader,1,,
Aplicación,memcached,memcached,1,,
Aplicación,mf_gig_calendar_project,mf_gig_calendar,1,,
Aplicación,microsoft,.net_framework,1,7.8,7.8
Aplicación,microsoft,access,1,8.8,8.8
Aplicación,microsoft,biztalk_server,1,8.8,8.8
Aplicación,microsoft,commerce_server_2009,1,8.8,8.8
Aplicación,microsoft,exchange_server,1,,
Aplicación,kentico,kentico_cms,1,,
Aplicación,kodebyraaet,safe_editor,1,6.1,6.1
Aplicación,koha,koha,1,,
Aplicación,kybernetika,phpshowtime,1,,
Aplicación,microsoft,frontpage,1,8.8,8.8
Aplicación,microsoft,groove,1,8.8,8.8
Aplicación,microsoft,groove_server,1,8.8,8.8
Aplicación,microsoft,host_integration_server,1,8.8,8.8
Aplicación,microsoft,infopath,1,8.8,8.8
Aplicación,microsoft,interix,1,7.8,7.8
Aplicación,microsoft,internet_information_server,1,,
Aplicación,forescout,counteract,1,,
Aplicación,fractalia,flexible_custom_post_type,1,,
Aplicación,frontend_uploader_project,frontend_uploader,1,,
Aplicación,fujitsu,interstage_business_process_manager_analytics,1,9.8,9.8
Aplicación,fxwebdesign,com_jradio,1,,
Aplicación,g4j.laoneo,com_gcalendar,1,,
Aplicación,microsoft,jscript,1,7.5,7.5
Aplicación,microsoft,live_meeting,1,7.8,7.8
Aplicación,microsoft,office_2007_ime,1,7.8,7.8
Aplicación,e-search_project,esearch,1,,
Aplicación,eclipse,jetty,1,,
Aplicación,eleanor-cms,eleanor_cms,1,,
Aplicación,elegantthemes,divi,1,,
Aplicación,microsoft,works_suite,1,8.8,8.8
Aplicación,microsoft,xml_core_services,1,8.8,8.8
Aplicación,mikejolley,download_monitor,1,,
Aplicación,microsoft,office_powerpoint,1,8.8,8.8
Aplicación,microsoft,office_sharepoint_server,1,7.8,7.8
Aplicación,microsoft,office_web_apps_server,1,7.8,7.8
Aplicación,microsoft,onenote,1,8.8,8.8
Aplicación,microsoft,powerpoint_viewer,1,7.8,7.8
Aplicación,microsoft,project,1,8.8,8.8
Aplicación,microsoft,publisher,1,8.8,8.8
Aplicación,microsoft,expression_web,1,8.8,8.8
Aplicación,microsoft,forefront_threat_management_gateway,1,9.8,9.8
Aplicación,mtheme-unus_project,mtheme-unus,1,7.5,7.5
Aplicación,microsoft,sql_server,1,8.8,8.8
Aplicación,microsoft,sql_server_2000,1,8.8,8.8
Aplicación,microsoft,sql_server_2005,1,8.8,8.8
Aplicación,microsoft,sql_server_2008,1,8.8,8.8
Aplicación,microsoft,vbscript,1,7.5,7.5
Aplicación,microsoft,visio_viewer,1,7.8,7.8
Aplicación,microsoft,visual_basic_for_applications,1,7.8,7.8
Aplicación,microsoft,visual_basic_for_applications_sdk,1,7.8,7.8
Aplicación,f5,big-iq_application_delivery_controller,1,5.5,5.5
Aplicación,f5,big-iq_centralized_management,1,5.5,5.5
Aplicación,f5,big-iq_cloud_and_orchestration,1,5.5,5.5
Aplicación,drupal,drupal,1,,
Aplicación,duckdev,404_to_301,1,9.8,9.8
Aplicación,dukapress,dukapress,1,,
Aplicación,e-search_project,e-search,1,,
Aplicación,netapp,cloud_secure_agent,1,10.0,10.0
Aplicación,netapp,e-series_santricity_management_plug-ins,1,9.8,9.8
Aplicación,netapp,e-series_santricity_storage_manager,1,9.8,9.8
Aplicación,netapp,e-series_santricity_web_services,1,9.8,9.8
